timestamp_s,side,hip_angle,hip_angle_smooth,knee_angle,back_angle,knee_angle_smooth,back_angle_smooth,elbow_angle,elbow_angle_smooth,body_angle,body_angle_smooth,hip_lift,hip_lift_smooth,hip_angle_display,knee_angle_display,back_angle_display,elbow_angle_display,body_angle_display,tracking_score,tracking_ok,tracking_display,exercise,exercise_confidence,exercise_locked,strap_confidence,stage,rep_count,warnings,pose_detected,frame_index
0.0,left,175.77357828437434,175.77357828437434,179.22746903895802,174.23210679788204,179.22746903895802,174.23210679788204,172.98580194065488,172.98580194065488,176.1504539113868,176.1504539113868,-0.9996697841686629,-0.9996697841686629,175.8 deg,179.2 deg,174.2 deg,173.0 deg,176.2 deg,0.964,True,ok,rdl,0.7,True,0.0,up,0,,True,0
0.0333,left,175.709193228946,175.74138575666018,179.12642701624495,174.2994076057786,179.1769480276015,174.26575720183033,173.0264982964033,173.0061501185291,176.14638663578125,176.148420273584,-0.9996783301276293,-0.9996740571481462,175.7 deg,179.2 deg,174.3 deg,173.0 deg,176.1 deg,0.965,True,ok,rdl,0.7,True,0.0,up,0,,True,1
0.0667,left,175.68706674160578,175.72327941830872,179.11706924158142,174.35485838056508,179.1569884322615,174.29545759474192,174.25174742334386,173.42134922013403,176.12828841632702,176.14170965449833,-0.9996807805180421,-0.9996762982714449,175.7 deg,179.2 deg,174.3 deg,173.4 deg,176.1 deg,0.966,True,ok,rdl,0.7,True,0.0,up,0,,True,2
0.1,left,175.60920682614284,175.69476127026724,179.05229324095208,174.38120109336123,179.13081463443413,174.31689346939675,173.97845398836856,173.56062541219265,176.08463332844858,176.1274405729859,-0.9996650586324645,-0.9996734883616998,175.7 deg,179.1 deg,174.3 deg,173.6 deg,176.1 deg,0.967,True,ok,rdl,0.7,True,0.0,up,0,,True,3
0.1333,left,175.44176928845962,175.6441628739057,178.93467299231477,174.3829453701901,179.09158630601024,174.33010384955543,174.13365041520248,173.67523041279463,175.98136389432318,176.09822523725336,-0.9996308188535931,-0.9996649544600784,175.6 deg,179.1 deg,174.3 deg,173.7 deg,176.1 deg,0.969,True,ok,rdl,0.7,True,0.0,up,0,,True,4
0.1667,left,175.38081175274283,175.60027102037859,178.86185179017392,174.5541750215927,179.05329722003754,174.36744904489498,174.29545512341156,173.77860119789747,175.9565390470111,176.07461087221296,-0.9996186187885052,-0.9996572318481496,175.6 deg,179.1 deg,174.4 deg,173.8 deg,176.1 deg,0.969,True,ok,rdl,0.7,True,0.0,up,0,,True,5
0.2,left,175.32039537327032,175.56028878507738,178.85927573460216,174.6204285229812,179.02557986497533,174.40358897033587,174.59404746834113,173.89509352224655,175.89844971537596,176.04944499266483,-0.9996127290241936,-0.9996508743018702,175.6 deg,179.0 deg,174.4 deg,173.9 deg,176.0 deg,0.97,True,ok,rdl,0.7,True,0.0,up,0,,True,6
0.2333,left,175.24086589481806,175.48418701514078,178.73359534050823,174.5899528616858,178.95502647948248,174.45470983659354,174.6454385571605,174.13218446746163,175.880012898093,176.0108105621943,-0.9995988969242906,-0.9996407475526742,175.5 deg,179.0 deg,174.5 deg,174.1 deg,176.0 deg,0.971,True,ok,rdl,0.7,True,0.0,up,0,,True,7
0.2667,left,175.18207828096234,175.40888487971455,178.6256993494326,174.60987519489868,178.88349395565214,174.49906234932496,174.74785945936725,174.3780932050279,175.87497737206672,175.9720378102351,-0.999595757548703,-0.9996289514699704,175.4 deg,178.9 deg,174.5 deg,174.4 deg,176.0 deg,0.972,True,ok,rdl,0.7,True,0.0,up,0,,True,8
0.3,left,175.12733363197057,175.3289230069095,178.51193685768817,174.5934675131309,178.79704647223886,174.53314936826294,175.10951502029204,174.50063143316336,175.87787442468064,175.93626438285702,-0.999592309775032,-0.9996163127923975,175.3 deg,178.8 deg,174.5 deg,174.5 deg,175.9 deg,0.973,True,ok,rdl,0.7,True,0.0,up,0,,True,9
0.3333,left,175.03252511592478,175.24653990544977,178.31193601072292,174.59756477568985,178.6912811536347,174.56405846573844,175.1284192932687,174.66491219100627,175.88386494515072,175.90758318524306,-0.9995943438749266,-0.9996062106841778,175.2 deg,178.7 deg,174.6 deg,174.7 deg,175.9 deg,0.973,True,ok,rdl,0.7,True,0.0,up,0,,True,10
0.3667,left,174.98046075162264,175.18063868590164,178.09617684795305,174.62235946643656,178.57149599015446,174.59826047948795,174.928620467629,174.77847934135292,175.93735695518728,175.9012964796522,-0.9996120536131796,-0.9996035299355474,175.2 deg,178.6 deg,174.6 deg,174.8 deg,175.9 deg,0.974,True,ok,rdl,0.7,True,0.0,up,0,,True,11
0.4,left,175.2172151879951,175.15726774808056,178.15347406999146,174.5841966509488,178.4702991729855,174.60254928368167,174.86633801992386,174.86003404085469,176.14004008453307,175.92751091358386,-0.9996727346470597,-0.9996112607724836,175.2 deg,178.5 deg,174.6 deg,174.9 deg,175.9 deg,0.974,True,ok,rdl,0.7,True,0.0,up,0,,True,12
0.4333,left,175.4243557788631,175.1721192345938,178.09309544317867,175.0536306542911,178.36084484563932,174.66443530244024,174.6649430585384,174.8701619823114,176.38068953008465,175.99640231568517,-0.9997764727998427,-0.9996346527404335,175.2 deg,178.4 deg,174.7 deg,174.9 deg,176.0 deg,0.975,True,ok,rdl,0.7,True,0.0,up,0,,True,13
0.4667,left,175.80156685704875,175.25221937205535,178.2673125784728,174.7680442467461,178.29423302249137,174.68987692887745,173.90181715765533,174.76393035381065,176.67139190276316,176.10945645920947,-0.9998348265866176,-0.9996683569779087,175.3 deg,178.3 deg,174.7 deg,174.8 deg,176.1 deg,0.975,True,ok,rdl,0.7,True,0.0,up,0,,True,14
0.5,left,176.18207069901788,175.39507543177754,178.31495290984617,175.25909434771737,178.249840673979,174.78262252213722,173.78129370017368,174.6258495310687,177.02651802724515,176.27396226709212,-0.9999220462642646,-0.9997149696515605,175.4 deg,178.2 deg,174.8 deg,174.6 deg,176.3 deg,0.975,True,ok,rdl,0.7,True,0.0,up,0,,True,15
0.5333,left,176.72995952298268,175.62402198763638,178.60913925190033,174.8365401031962,178.26372673029505,174.81734717786085,173.7887068729156,174.43716265287208,177.42260600697097,176.49463820741926,-0.9999674391000991,-0.9997685595551414,175.6 deg,178.3 deg,174.8 deg,174.4 deg,176.5 deg,0.975,True,ok,rdl,0.7,True,0.0,up,0,,True,16
0.5667,left,177.87247118131492,176.02972856840645,179.12374316972222,174.78977345369333,178.3796991815807,174.84480556043277,174.94247020004738,174.41059849669765,178.30904022070962,176.84109181821344,-0.999999163431954,-0.999826390920431,176.0 deg,178.4 deg,174.8 deg,174.4 deg,176.8 deg,0.975,True,ok,rdl,0.7,True,0.0,up,0,,True,17
0.6,left,178.474147686371,176.5288267019419,179.21142490186477,174.30873253631998,178.5390203321395,174.80000171327325,174.06003389017187,174.286514699918,178.86185179017392,177.2588767946401,-0.9999734591959032,-0.9998780202893915,176.5 deg,178.5 deg,174.8 deg,174.3 deg,177.3 deg,0.975,True,ok,rdl,0.7,True,0.0,up,0,,True,18
0.6333,left,179.57021653811532,177.15068403767341,179.43076101340657,174.82267023478664,178.7214898954845,174.83406936810727,172.43589334772386,173.93930831817514,179.84934213656234,177.78877708778714,-0.999801551908207,-0.9998964227552698,177.2 deg,178.7 deg,174.8 deg,173.9 deg,177.8 deg,0.975,True,ok,rdl,0.7,True,0.0,up,0,,True,19
