timestamp_s,side,hip_angle,hip_angle_smooth,knee_angle,back_angle,knee_angle_smooth,back_angle_smooth,elbow_angle,elbow_angle_smooth,body_angle,body_angle_smooth,hip_lift,hip_lift_smooth,hip_angle_display,knee_angle_display,back_angle_display,elbow_angle_display,body_angle_display,tracking_score,tracking_ok,tracking_display,exercise,exercise_confidence,exercise_locked,strap_confidence,stage,rep_count,warnings,pose_detected,frame_index
0.9333,right,171.32370562691557,172.95718231131,173.84842819306573,162.30415154058272,174.48749067108355,162.83970821466423,174.62742692599252,175.21207897942196,174.41685672579283,175.74649480348117,-0.9954786794081825,-0.9969713158294764,173.0 deg,174.5 deg,162.8 deg,175.2 deg,175.7 deg,0.98,True,ok,rdl,0.7,True,0.0,up,0,,True,28
0.9667,right,170.72237399147676,172.39047667641867,173.71818099428427,162.35354076149426,174.2761749450394,162.71191946740416,174.06904982626583,175.0268919192184,173.8697217992233,175.28325202282562,-0.9946733858749753,-0.9964748555312912,172.4 deg,174.3 deg,162.7 deg,175.0 deg,175.3 deg,0.981,True,ok,rdl,0.7,True,0.0,up,0,,True,29
1.0,right,169.39764866419685,171.71672130061916,173.1273617882402,162.887996442884,174.01296714887354,162.65853929497948,173.94336394297721,174.82191772406495,172.82192322885152,174.73429323638672,-0.9930785344055004,-0.9957923888943364,171.7 deg,174.0 deg,162.7 deg,174.8 deg,174.7 deg,0.983,True,ok,rdl,0.7,True,0.0,up,0,,True,30
1.0333,right,168.80477412469415,171.08158527917254,172.96301838003515,162.7824149172318,173.78554081339095,162.5523376677939,173.8902229440753,174.60567872691658,172.30948254715213,174.2040930874432,-0.9925070902193529,-0.9950969822056175,171.1 deg,173.8 deg,162.6 deg,174.6 deg,174.2 deg,0.983,True,ok,rdl,0.7,True,0.0,up,0,,True,31
1.0667,right,168.4099134423578,170.45077093606037,173.22485544616399,162.62466042024656,173.63847167847192,162.49205831972026,173.4518297322239,174.33838188212687,171.77715039386942,173.6372389939774,-0.9913872440260961,-0.9942866713143074,170.5 deg,173.6 deg,162.5 deg,174.3 deg,173.6 deg,0.984,True,ok,rdl,0.7,True,0.0,up,0,,True,32
1.1,right,167.87573976255615,169.80149380596708,173.22560813719159,162.8894821337688,173.48005139751464,162.53817250936407,173.76212337908157,174.11831425223707,171.2449380299124,173.0589006458237,-0.990390443403889,-0.9933947445447212,169.8 deg,173.5 deg,162.5 deg,174.1 deg,173.1 deg,0.985,True,ok,rdl,0.7,True,0.0,up,0,,True,33
1.1333,right,167.60005129245434,169.16202955780736,173.42851251732955,163.1545224177423,173.36228077947294,162.71382409056432,173.34686503500788,173.87012596937487,170.87316216038968,172.473319269313,-0.989735004490637,-0.9924643402612333,169.2 deg,173.4 deg,162.7 deg,173.9 deg,172.5 deg,0.986,True,ok,rdl,0.7,True,0.0,up,0,,True,34
1.1667,right,166.9880569304958,168.54265117260454,173.56480131728568,162.3044661286953,173.3217626543615,162.7138690317233,174.95026277416164,173.9162453762562,170.19873281539864,171.87073013925672,-0.9883743902381393,-0.9914494418083699,168.5 deg,173.3 deg,162.7 deg,173.9 deg,171.9 deg,0.986,True,ok,rdl,0.7,True,0.0,up,0,,True,35
1.2,right,166.0143780816371,167.87008032834174,173.65433392983337,161.11954168032156,173.31264164515423,162.53758344869863,176.6844750847932,174.28987755604584,169.19352499317225,171.2027020241066,-0.9868890331928556,-0.9903373914252099,167.9 deg,173.3 deg,162.5 deg,174.3 deg,171.2 deg,0.987,True,ok,rdl,0.7,True,0.0,up,0,,True,36
1.2333,right,165.40746994910933,167.300054797615,173.37282527186866,161.79450858649332,173.34770785710114,162.38137089778567,176.91288402866698,174.71409471114433,168.73244706979875,170.61849114424191,-0.9858169864012255,-0.9893000274245992,167.3 deg,173.3 deg,162.4 deg,174.7 deg,170.6 deg,0.987,True,ok,rdl,0.7,True,0.0,up,0,,True,37
